id,nombre,horasTrabajadas,sueldo
1,Dieguez,120,10000.000000
2,Ulrike,180,25000.000000
3,Brade,325,20000.000000
4,Kimbell,120,50000.000000
5,Sheelagh,220,18000.000000
6,Gayle,120,30000.000000
7,Kimberlee,60,33000.000000
8,Henrieta,90,30000.000000
9,Jeanine,325,18000.000000
10,Diego,75,15000.000000
11,Brandea,180,15000.000000
12,Cordelie,325,50000.000000
13,Shel,120,50000.000000
14,Bronnie,60,20000.000000
15,Megen,180,10000.000000
16,Iver,90,12000.000000
17,Ernesta,60,37000.000000
18,Cirillo,88,50000.000000
19,Park,120,30000.000000
20,Bellanca,88,15000.000000
21,Bobbye,180,15000.000000
22,Eugene,88,50000.000000
23,Johnny,325,33000.000000
24,Reagen,90,42000.000000
25,Braden,180,25000.000000
26,Julian,200,23456.000000
